카가, 70, 142 
하파, 63, 168 
차나, 64, 177 
다라, 41, 194 
자다, 40, 164 
가다, 95, 186 
파가, 44, 153 
나라, 73, 195 
카바, 67, 184 
자차, 73, 145 
사하, 89, 180 
바차, 88, 143 
아다, 82, 178 
아바, 54, 143 
하아, 84, 142 
자타, 41, 175 
가라, 40, 199 
바자, 52, 186 
사아, 79, 157 
차다, 84, 170 
다가, 47, 157 
타다, 49, 147 
다타, 52, 195 
라라, 88, 149 
아다, 66, 180 
바하, 82, 175 
차아, 90, 180 
나나, 51, 174 
다가, 55, 199 
바차, 41, 181 
카나, 97, 153 
라마, 52, 144 
파다, 81, 195 
아카, 87, 197 
타라, 82, 158 
파라, 76, 190 
하사, 49, 171 
아자, 71, 159 
카라, 79, 179 
타라, 43, 169 
다하, 68, 191 
하카, 51, 146 
가바, 79, 162 
자타, 73, 193 
가사, 90, 178 
카나, 74, 164 
카차, 43, 150 
카타, 88, 176 
하나, 98, 172 
카마, 43, 182 
가사, 65, 176 
바나, 47, 157 
타자, 63, 143 
하하, 83, 175 
마타, 80, 143 
사아, 55, 184 
다마, 83, 141 
사파, 97, 193 
사다, 44, 177 
라가, 99, 152 
다라, 54, 189 
파나, 50, 199 
하자, 43, 199 
타자, 57, 177 
라마, 74, 178 
자차, 74, 166 
타차, 52, 141 
바하, 48, 182 
파가, 92, 181 
하자, 75, 164 
자자, 62, 157 
마아, 96, 160 
차자, 56, 198 
라타, 63, 175 
바타, 57, 146 
나나, 65, 177 
마다, 70, 161 
사가, 47, 184 
하파, 81, 170 
바바, 90, 143 
마파, 91, 150 
아자, 88, 173 
바자, 94, 172 
사바, 60, 187 
하차, 84, 173 
타라, 78, 184 
사차, 49, 140 
다마, 68, 195 
아파, 87, 164 
다자, 57, 164 
바하, 55, 186 
가카, 55, 156 
아나, 65, 152 
차나, 68, 165 
가자, 46, 145 
자사, 84, 188 
하마, 55, 179 
카아, 46, 175 
나파, 50, 163 
마마, 75, 153 
